Alfred Hitchcock	Psycho
Orson Welles	Citizen Kane
Woody Allen	Manhattan
Kenneth Branagh	Henry V
John Carpenter	The Fog
Charles Chaplin	The Great Dictator
Kevin Costner	Dances with Wolves
Kevin Costner	The Postman
Robert De Niro	The Good Shepherd
Clint Eastwood	Million Dollar Baby
Mel Gibson	Braveheart
Martin Scorsese	Taxi Driver
Mel Brooks	Spaceballs
Ben Stiller	Tropic Thunder
M. Night Shyamalan	Signs
Rupert Hill	Leatherbird
